代码,名称,收盘价,涨跌幅,换手率,龙虎榜净买额(万),市场总成交额(万),Ntransac,上榜原因,Oldid,龙虎榜卖出额(万),龙虎榜买入额(万),龙虎榜成交额(万),上榜日,净买额占总成交比,成交额占总成交比,流通市场(亿),上榜后1日,Rchange1do,上榜后2日,Rchange2do,Rchange3dc,Rchange3do,上榜后5日,Rchange5do,上榜后10日,Rchange10do,Rchange15dc,Rchange15do,Rchange20dc,Rchange20do,Rchange30dc,Rchange30do,Rchange1m,Rchange3m,Rchange6m,Rchange1y,SumCount,JGBSumCount,JGSSumCount,JGBMoney,JGSMoney,JGJMMoney,解读
603609,禾丰牧业,12.6,10.0437,3.454,23183,351126,28706568,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,3242989,30277,53461,83738,2019-04-22,6.60,23.85,105,,,,,,,,,,,,,,,,,14.33756805,59.2920354,79.23186341,39.8395243,,,,,,,上海资金买入，成功率59.50%
603681,永冠新材,38.21,9.9885,55.335,62001,1431857,39904640,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,3243005,116224,178225,294449,2019-04-22,4.33,20.56,16,,,,,,,,,,,,,,,,,282.1,282.1,282.1,282.1,,,,,,,买一主买，成功率40.46%
603681,永冠新材,38.21,9.9885,55.335,-29773,865392,23045823,有价格涨跌幅限制的日换手率达到20%的前三只证券,3242996,115431,85658,201089,2019-04-22,-3.44,23.24,16,,,,,,,,,,,,,,,,,282.1,282.1,282.1,282.1,,,,,,,实力游资买入，成功率52.00%
603956,威派格,26.73,2.6892,29.469,-3278,328980,12552482,有价格涨跌幅限制的日换手率达到20%的前三只证券,3242998,21322,18044,39366,2019-04-22,-1.00,11.97,11,,,,,,,,,,,,,,,,,-4.15919684,368.94736842,368.94736842,368.94736842,,,,,,,实力游资买入，成功率40.66%
603998,方盛制药,12.47,-10.0289,12.423,-29859,678733,52822271,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,3242990,68458,38599,107057,2019-04-22,-4.40,15.77,53,,,,,,,,,,,,,,,,,93.03405577,146.93069304,158.17805389,32.4014001,,,,,,,实力游资卖出，成功率33.62%
000038,深大通,16.21,9.9729,13.937,22284,584710,38090000,连续三个交易日内，涨幅偏离值累计达到20%的证券,3241822,61604,83887,145491,2019-04-19,3.81,24.88,32,2.1592,,,,,,,,,,,,,,,,17.20896602,27.73837668,35.19599664,-10.4419891,,,,,,,主力做T，成功率49.47%
000159,国际实业,13.79,9.9681,31.701,25189,2037670,152380000,日涨幅偏离值达到7%的前五只证券,3241808,109887,135076,244962,2019-04-19,1.24,12.02,66,5.1487,,,,,,,,,,,,,,,,89.68363136,222.95081971,297.40634003,219.21296409,,,,,,,实力游资买入，成功率44.87%
000159,国际实业,13.79,9.9681,31.701,26820,4860900,391650000,连续三个交易日内，涨幅偏离值累计达到20%的证券,3241823,194794,221614,416408,2019-04-19,0.55,8.57,66,5.1487,,,,,,,,,,,,,,,,89.68363136,222.95081971,297.40634003,219.21296409,,,,,,,主力做T，成功率39.49%
000159,国际实业,13.79,9.9681,31.701,25189,2037670,152380000,日换手率达到20%的前五只证券,3241817,109887,135076,244962,2019-04-19,1.24,12.02,66,5.1487,,,,,,,,,,,,,,,,89.68363136,222.95081971,297.40634003,219.21296409,,,,,,,实力游资买入，成功率44.87%
000413,东旭光电,6.99,10.0787,8.346,187767,2737700,405940000,日涨幅偏离值达到7%的前五只证券,3241807,103151,290918,394068,2019-04-19,6.86,14.39,340,3.5765,,,,,,,,,,,,,,,,10.42654028,50.64655177,64.08450709,-3.98924179,,,,,,,实力游资买入，成功率47.06%
000592,平潭发展,4.51,-8.5193,13.701,-86252,1208100,262240000,日跌幅偏离值达到7%的前五只证券,3241812,149433,63181,212614,2019-04-19,-7.14,17.60,86,-1.9956,,,,,,,,,,,,,,,,13.03258143,42.72151894,114.76190468,7.89473817,,,,,,,上海资金卖出，成功率48.09%
000610,西安旅游,16.43,1.4824,23.249,11796,901690,54700000,日换手率达到20%的前五只证券,3241819,37534,49330,86865,2019-04-19,1.31,9.63,39,9.9817,,,,,,,,,,,,,,,,77.42980564,103.59355636,231.24999993,71.32429511,,,,,,,主力做T，成功率37.33%
000637,茂化实华,6.17,5.2901,13.839,16207,305120,50720000,日振幅值达到15%的前五只证券,3241815,20298,36506,56804,2019-04-19,5.31,18.62,23,3.4036,,,,,,,,,,,,,,,,23.64729459,51.22549018,80.93841641,26.96595354,,,,,,,买一主买，成功率47.74%
